Unnamed: 0,index,Hospital Name,Address,State,ZIP Code,County Name,Condition,Measure Name,Score
26,26,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,363.0
27,27,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,200.0
28,28,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Preventative Care Measures,Patients assessed and given influenza vaccination,63.0
29,29,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
30,30,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Door to diagnostic eval,
31,31,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Median time to pain med,
32,32,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Emergency Department (ED) Measures,Head CT results,
33,33,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
34,34,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
35,35,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
36,36,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
37,37,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Acute Myocardial Infarction (AMI),Median Time to ECG,
38,38,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,FL,33744,PINELLAS,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
39,39,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,266.0
40,40,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,161.0
41,41,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Preventative Care Measures,Patients assessed and given influenza vaccination,95.0
42,42,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
43,43,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Door to diagnostic eval,
44,44,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Median time to pain med,
45,45,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Emergency Department (ED) Measures,Head CT results,
46,46,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
47,47,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
48,48,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
49,49,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
50,50,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Acute Myocardial Infarction (AMI),Median Time to ECG,
51,51,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,TN,37684,WASHINGTON,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
52,52,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,198.0
53,53,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,139.0
54,54,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Preventative Care Measures,Patients assessed and given influenza vaccination,89.0
55,55,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,90.0
56,56,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Door to diagnostic eval,32.0
57,57,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Median time to pain med,46.0
58,58,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Emergency Department (ED) Measures,Head CT results,
59,59,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
60,60,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
61,61,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
62,62,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Acute Myocardial Infarction (AMI),Aspirin at Arrival,99.0
63,63,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Acute Myocardial Infarction (AMI),Median Time to ECG,6.0
64,64,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,KS,67218,SEDGWICK,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
65,65,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,263.0
66,66,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,179.0
67,67,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Preventative Care Measures,Patients assessed and given influenza vaccination,84.0
68,68,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
69,69,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Door to diagnostic eval,
70,70,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Median time to pain med,
71,71,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Emergency Department (ED) Measures,Head CT results,
72,72,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
73,73,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
74,74,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
75,75,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
76,76,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Acute Myocardial Infarction (AMI),Median Time to ECG,
77,77,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,MO,64128,JACKSON,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
78,78,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,197.0
79,79,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,138.0
80,80,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Preventative Care Measures,Patients assessed and given influenza vaccination,92.0
81,81,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
82,82,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Door to diagnostic eval,
83,83,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Median time to pain med,
84,84,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Emergency Department (ED) Measures,Head CT results,
85,85,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
86,86,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
87,87,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
88,88,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
89,89,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Acute Myocardial Infarction (AMI),Median Time to ECG,
90,90,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MN,55417,HENNEPIN,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
91,91,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,MI,49801,DICKINSON,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
92,92,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,IN,46202,MARION,Emergency Department (ED) Measures,Door to diagnostic eval,
93,93,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,TN,37212,DAVIDSON,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
94,94,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,FL,33410,PALM BEACH,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
95,95,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
96,96,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM,1601 S W ARCHER ROAD,FL,32608,ALACHUA,Acute Myocardial Infarction (AMI),Median Time to ECG,
97,97,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Acute Myocardial Infarction (AMI),Median Time to ECG,
98,98,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,IL,61832,VERMILION,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
99,99,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
100,100,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,TN,38104,SHELBY,Emergency Department (ED) Measures,Head CT results,
101,101,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,OH,45220,HAMILTON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
102,102,DURHAM VA MEDICAL CENTER,508 FULTON STREET,NC,27705,DURHAM,Emergency Department (ED) Measures,Head CT results,
103,103,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,MI,48602,SAGINAW,Acute Myocardial Infarction (AMI),Median Time to ECG,
104,104,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,SC,29401,CHARLESTON,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,287.0
105,105,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NY,10010,NEW YORK,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
106,106,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,NY,13210,ONONDAGA,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
107,107,TOGUS VA MEDICAL CENTER,1 VA CENTER,ME,4330,KENNEBEC,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
108,108,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,WV,25405,BERKELEY,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
109,109,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,TN,37212,DAVIDSON,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
110,110,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,NY,12208,ALBANY,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
111,111,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,IN,46202,MARION,Emergency Department (ED) Measures,Median time to pain med,
112,112,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,KY,40206,JEFFERSON,Emergency Department (ED) Measures,Median time to pain med,
113,113,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,VA,24153,SALEM,Acute Myocardial Infarction (AMI),Median Time to ECG,
114,114,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,NC,28805,BUNCOMBE,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
115,115,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,RI,2908,PROVIDENCE,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
116,116,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,GA,30033,DEKALB,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
117,117,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,PR,921,SAN JUAN,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,685.0
118,118,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,MA,1053,HAMPSHIRE,Emergency Department (ED) Measures,Median time to pain med,
119,119,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,MI,49801,DICKINSON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,
120,120,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,KY,40502,FAYETTE,Emergency Department (ED) Measures,Median time to pain med,
121,121,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,VT,5009,WINDSOR,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
122,122,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NY,11768,SUFFOLK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,301.0
123,123,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,IL,60141,COOK,Emergency Department (ED) Measures,Door to diagnostic eval,
124,124,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,GA,30033,DEKALB,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
125,125,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,MI,48602,SAGINAW,Preventative Care Measures,Patients assessed and given influenza vaccination,96.0
126,126,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,VA,23667,HAMPTON CIT,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
127,127,TOGUS VA MEDICAL CENTER,1 VA CENTER,ME,4330,KENNEBEC,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,198.0
128,128,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Preventative Care Measures,Patients assessed and given influenza vaccination,64.0
129,129,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,KY,40206,JEFFERSON,Preventative Care Measures,Patients assessed and given influenza vaccination,99.0
130,130,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,10 NORTH GREENE STREET,MD,21201,BALTIMORE C,Acute Myocardial Infarction (AMI),Median Time to Transfer to Another Facility for Acute Coronary Intervention,
131,131,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,TN,38104,SHELBY,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
132,132,TOGUS VA MEDICAL CENTER,1 VA CENTER,ME,4330,KENNEBEC,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
133,133,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Acute Myocardial Infarction (AMI),Median Time to ECG,
134,134,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,FL,33410,PALM BEACH,Acute Myocardial Infarction (AMI),Median Time to Fibrinolysis,
135,135,VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,1310 24TH AVENUE SOUTH,TN,37212,DAVIDSON,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,206.0
136,136,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,RI,2908,PROVIDENCE,Emergency Department (ED) Measures,Head CT results,
137,137,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,IL,60141,COOK,Emergency Department (ED) Measures,Head CT results,
138,138,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,VA,24153,SALEM,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
139,139,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,PR,921,SAN JUAN,Emergency Department (ED) Measures,Head CT results,
140,140,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,RI,2908,PROVIDENCE,Emergency Department (ED) Measures,Door to diagnostic eval,
141,141,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,MA,1730,MIDDLESEX,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,
142,142,ERIE VA MEDICAL CENTER,135 EAST 38TH STREET,PA,16504,ERIE,Acute Myocardial Infarction (AMI),Median Time to ECG,
143,143,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,GA,31021,LAURENS,Emergency Department (ED) Measures,Door to diagnostic eval,62.0
144,144,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,DE,19805,NEW CASTLE,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
145,145,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,WI,53705,DANE,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
146,146,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,NY,10468,BRONX,Emergency Department (ED) Measures,Median time to pain med,
147,147,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,VA,23249,RICHMOND CI,Emergency Department (ED) Measures,Head CT results,
148,148,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,WV,25405,BERKELEY,Emergency Department (ED) Measures,Door to diagnostic eval,
149,149,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,OH,44106,CUYAHOGA,Acute Myocardial Infarction (AMI),Aspirin at Arrival,
150,150,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,820 S DAMEN STREET,IL,60612,COOK,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for admitted ED patients,328.0
151,151,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,MA,1053,HAMPSHIRE,Emergency Department (ED) Measures,Admit Decision Time to ED Departure Time for Admitted Patients,
152,152,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,GA,30904,RICHMOND,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
153,153,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,IL,60141,COOK,Preventative Care Measures,Patients assessed and given influenza vaccination,79.0
154,154,W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER,1601 BRENNER AVENUE,NC,28144,ROWAN,Emergency Department (ED) Measures,Door to diagnostic eval,
155,155,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,WV,25801,RALEIGH,Emergency Department (ED) Measures,Median time from ED arrival to ED departure for discharged ED patients,
156,156,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,IL,60064,LAKE,Acute Myocardial Infarction (AMI),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,
157,157,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,VA,24153,SALEM,Blood clot prevention and treatment,Hospital acquired potentially preventable venous thromboembolism,
